MP_PT,AU_Substance_SCTID,Int_Substance_SCTID
pregabalin,31810011000036103,415160008
ondansetron,somedfdthing,372487007
mebendazole,2303011000036106,387311004
aciclovir,1762011000036103,372729009
rosuvastatin,2760011000036103,700067006
efavirenz,2066011000036102,387001004
oxaliplatin,2424011000036105,395814003
quetiapine,2535011000036104,386850001
diclofenac,2016011000036103,7034005
gadopentetic acid,31270011000036101,710811005
oseltamivir,31668011000036109,412261005
methotrexate,2322011000036106,387381009
guarana extract + Korean ginseng extract,1379711000168106 + 1379591000168109,255641001 + 412395006
fluconazole,2118011000036108,387174006
atorvastatin,1821011000036101,373444002
mometasone,2356011000036109,395990009
escitalopram,2090011000036102,400447003
ibuprofen,2211011000036101,387207008
sumatriptan,2610011000036105,395892000
bosentan,1870011000036109,385559004
ranitidine,2550011000036109,372755005
simvastatin,2588011000036103,387584000
olmesartan + amlodipine,2756011000036108 + 1792011000036100,412259001 + 386864001
alanine + arginine + glycine + histidine + isoleucine + leucine + lysine + methionine + phenylalanine + proline + serine + taurine + threonine + tryptophan + tyrosine + valine + calcium chloride + glycerophosphoric acid + magnesium sulfate + potassium chloride + sodium acetate + zinc,30998011000036100 + 31033011000036104 + 31290011000036108 + 31517011000036103 + 31524011000036101 + 2532011000036107 + 31902011000036106,58753009 + 52625008 + 15331006 + 60260004 + 14971004 + 83797003 + 75799006 + 70288006 + 63004003 + 52541003 + 14125007 + 10944007 + 52736009 + 54821000 + 27378009 + 72840006 + 387377009 + 86447006 + 387202002 + 8631001 + 108951007 + 86739005 
glucose,2173011000036106,67079006
soya oil + medium chain triglycerides + olive oil + fish oil,31977011000036101 + 48218011000036102 + 31645011000036106 + 75893011000036103,
pantoprazole,2440011000036103,395821003
piroxicam,2490011000036106,387153005
agomelatine,933193081000036100,698012009
paracetamol,2442011000036104,384977007
atenolol,1820011000036108,387506000
ascorbic acid + d-alpha-tocopheryl acid succinate + zinc + copper,30781011000036102 + 31076011000036108 + 2718011000036102 + 31033011000036104,43706004 + 116776001 + 86739005 + 66925006
chlorphenamine + phenylephrine,30971011000036102 + 2476011000036101,372914003 + 372771005
flucloxacillin,2115011000036102,387544009
irbesartan,2232011000036104,386877005
progesterone,2516011000036100,16683002
chloroxylenol,30970011000036109,398713003
"glycomacropeptide and essential amino acid formula with vitamins, minerals, and low in tyrosine and phenylalanine",1378591000168101,
dupilumab,1090491000168105,733487000
bisoprolol,1866011000036102,386868003
amlodipine + atorvastatin,1792011000036100 + 1821011000036101,386864001 + 373444002
metoprolol,2336011000036108,372826007
desferrioxamine,2003011000036107,372825006
famciclovir,2104011000036103,387557001
